,Name,Review Rate,Review Time,Review Text
120,The Coffee Company, 5 stars ,3 years ago,"(Translated by Google) Delicious cuppa

(Original)
Heerlijk bakkie"
121,The Coffee Company, 5 stars ,4 years ago,"(Translated by Google) Very nice!

(Original)
Muito agradável!"
122,The Coffee Company, 4 stars ,a year ago,"(Translated by Google) First bartender

(Original)
Prima barista"
123,The Coffee Company, 3 stars ,8 months ago,"(Translated by Google) Good place

(Original)
Bonne endroit"
124,The Coffee Company, 3 stars ,4 years ago,"(Translated by Google) Before

(Original)
Prima"
125,The Coffee Company, 4 stars ,2 years ago,"(Translated by Google) Great place

(Original)
Estupendo lugar"
126,The Coffee Company, 5 stars ,2 years ago,"(Translated by Google) Excellent coffee

(Original)
Uitstekende koffie"
127,The Coffee Company, 4 stars ,4 years ago,"(Translated by Google) Good coffee.

(Original)
Lekkere koffie."
128,The Coffee Company, 5 stars ,a year ago,
129,The Coffee Company, 5 stars ,2 years ago,
130,The Coffee Company, 5 stars ,2 years ago,
131,The Coffee Company, 5 stars ,a year ago,
132,The Coffee Company, 5 stars ,3 years ago,
133,The Coffee Company, 5 stars ,3 years ago,
134,The Coffee Company, 5 stars ,4 months ago,
135,The Coffee Company, 5 stars ,3 years ago,
136,The Coffee Company, 4 stars ,8 years ago,
137,The Coffee Company, 4 stars ,3 years ago,
138,The Coffee Company, 5 stars ,2 years ago,
139,The Coffee Company, 4 stars ,4 years ago,
140,The Coffee Company, 4 stars ,4 months ago,
141,The Coffee Company, 4 stars ,3 years ago,
142,The Coffee Company, 5 stars ,3 years ago,
143,The Coffee Company, 4 stars ,4 years ago,
144,The Coffee Company, 5 stars ,4 years ago,
145,The Coffee Company, 5 stars ,4 years ago,
146,The Coffee Company, 4 stars ,4 years ago,
147,The Coffee Company, 2 stars ,3 years ago,
148,The Coffee Company, 5 stars ,2 years ago,
149,The Coffee Company, 4 stars ,3 years ago,
150,The Coffee Company, 5 stars ,4 years ago,
151,The Coffee Company, 3 stars ,3 years ago,
152,The Coffee Company, 5 stars ,3 years ago,
153,The Coffee Company, 4 stars ,2 years ago,
154,The Coffee Company, 4 stars ,4 years ago,
155,The Coffee Company, 3 stars ,5 months ago,
156,The Coffee Company, 4 stars ,4 years ago,
157,The Coffee Company, 4 stars ,5 months ago,
158,The Coffee Company, 5 stars ,2 years ago,
159,The Coffee Company, 5 stars ,3 years ago,
160,The Coffee Company, 3 stars ,3 years ago,
161,The Coffee Company, 4 stars ,3 years ago,
162,The Coffee Company, 5 stars ,3 years ago,
163,The Coffee Company, 5 stars ,8 months ago,
164,The Coffee Company, 4 stars ,3 years ago,
165,The Coffee Company, 5 stars ,3 years ago,
166,The Coffee Company, 4 stars ,2 years ago,
167,The Coffee Company, 1 star ,3 years ago,
168,The Coffee Company, 3 stars ,2 years ago,
169,The Coffee Company, 3 stars ,2 years ago,
170,The Coffee Company, 3 stars ,8 months ago,
171,The Coffee Company, 4 stars ,a week ago,
172,The Coffee Company, 5 stars ,2 years ago,
173,The Coffee Company, 3 stars ,3 years ago,
174,The Coffee Company, 4 stars ,3 years ago,
175,The Coffee Company, 4 stars ,3 years ago,
176,The Coffee Company, 5 stars ,4 months ago,
177,The Coffee Company, 5 stars ,3 years ago,
178,The Coffee Company, 5 stars ,a year ago,
179,The Coffee Company, 5 stars ,3 years ago,
180,The Coffee Company, 5 stars ,3 years ago,
181,The Coffee Company, 5 stars ,8 months ago,
182,The Coffee Company, 2 stars ,10 years ago,
183,The Coffee Company, 5 stars ,3 years ago,
184,The Coffee Company, 5 stars ,2 years ago,
185,The Coffee Company, 4 stars ,a year ago,
186,The Coffee Company, 5 stars ,6 years ago,
187,The Coffee Company, 4 stars ,3 years ago,
188,The Coffee Company, 4 stars ,3 years ago,
189,The Coffee Company, 5 stars ,4 years ago,
190,The Coffee Company, 4 stars ,3 years ago,
191,The Coffee Company, 4 stars ,4 years ago,
192,The Coffee Company, 3 stars ,7 years ago,
193,The Coffee Company, 5 stars ,2 years ago,
194,The Coffee Company, 4 stars ,2 years ago,
195,The Coffee Company, 3 stars ,3 years ago,
196,The Coffee Company, 5 stars ,6 months ago,
197,The Coffee Company, 5 stars ,3 years ago,
198,The Coffee Company, 3 stars ,7 months ago,
199,The Coffee Company, 5 stars ,2 years ago,
200,The Coffee Company, 5 stars ,2 years ago,
201,The Coffee Company, 3 stars ,2 years ago,
202,The Coffee Company, 5 stars ,7 months ago,
